Date,Island,Survey,BTS,ForestCover,Temperature
7/2/2022,1,1,0,0,21
7/6/2022,1,2,0,0,34
7/10/2022,1,3,0,0,38
7/13/2022,1,4,0,0,25
7/18/2022,1,5,0,0,27
7/23/2022,1,6,0,0,26
7/3/2022,2,1,0,85,40
7/7/2022,2,2,1,85,22
7/11/2022,2,3,1,85,24
7/14/2022,2,4,1,85,27
7/19/2022,2,5,0,85,33
7/24/2022,2,6,1,85,26
7/4/2022,3,1,0,25,40
7/8/2022,3,2,0,25,32
7/12/2022,3,3,0,25,30
7/15/2022,3,4,0,25,22
7/20/2022,3,5,0,25,37
7/25/2022,3,6,0,25,39
7/5/2022,4,1,1,40,30
7/9/2022,4,2,0,40,37
7/13/2022,4,3,0,40,34
7/16/2022,4,4,1,40,26
7/21/2022,4,5,1,40,25
7/26/2022,4,6,0,40,38
7/2/2022,5,1,0,50,31
7/6/2022,5,2,0,50,35
7/10/2022,5,3,0,50,26
7/13/2022,5,4,0,50,27
7/18/2022,5,5,0,50,22
7/23/2022,5,6,0,50,37
7/3/2022,6,1,0,65,25
7/7/2022,6,2,1,65,22
7/11/2022,6,3,1,65,25
7/14/2022,6,4,1,65,27
7/19/2022,6,5,0,65,37
7/24/2022,6,6,0,65,34
7/4/2022,7,1,1,75,27
7/8/2022,7,2,1,75,32
7/12/2022,7,3,0,75,36
7/15/2022,7,4,1,75,24
7/20/2022,7,5,1,75,26
7/25/2022,7,6,0,75,39
7/5/2022,8,1,0,15,39
7/9/2022,8,2,0,15,33
7/13/2022,8,3,0,15,25
7/16/2022,8,4,0,15,30
7/21/2022,8,5,0,15,34
7/26/2022,8,6,0,15,28
7/3/2022,9,1,0,95,40
7/7/2022,9,2,1,95,31
7/11/2022,9,3,1,95,28
7/14/2022,9,4,1,95,25
7/19/2022,9,5,0,95,38
7/24/2022,9,6,1,95,22
7/2/2022,10,1,0,10,25
7/6/2022,10,2,0,10,28
7/10/2022,10,3,0,10,32
7/13/2022,10,4,0,10,23
7/18/2022,10,5,0,10,35
7/23/2022,10,6,0,10,39
7/3/2022,11,1,1,70,25
7/7/2022,11,2,1,70,26
7/11/2022,11,3,0,70,32
7/14/2022,11,4,0,70,36
7/19/2022,11,5,0,70,35
7/24/2022,11,6,0,70,34
7/4/2022,12,1,1,90,27
7/8/2022,12,2,0,90,35
7/12/2022,12,3,1,90,26
7/15/2022,12,4,1,90,24
7/20/2022,12,5,0,90,35
7/25/2022,12,6,0,90,34
