Site,Year,Survey,Count,Rain,Agriculture,GrassCover,Total.Survey
1,2015,1,39,900,20,10,1
1,2015,2,32,900,20,15,2
1,2015,3,43,900,20,30,3
1,2016,1,80,300,20,15,4
1,2016,2,81,300,20,25,5
1,2016,3,90,300,20,35,6
1,2017,1,24,380,20,5,7
1,2017,2,27,380,20,15,8
1,2017,3,22,380,20,20,9
1,2018,1,13,710,20,20,10
1,2018,2,14,710,20,25,11
1,2018,3,17,710,20,30,12
2,2015,1,73,350,90,25,1
2,2015,2,66,350,90,35,2
2,2015,3,79,350,90,40,3
2,2016,1,20,830,90,30,4
2,2016,2,21,830,90,30,5
2,2016,3,18,830,90,35,6
2,2017,1,88,800,90,15,7
2,2017,2,84,800,90,30,8
2,2017,3,80,800,90,35,9
2,2018,1,94,740,90,20,10
2,2018,2,92,740,90,25,11
2,2018,3,98,740,90,35,12
3,2015,1,50,590,50,0,1
3,2015,2,54,590,50,10,2
3,2015,3,39,590,50,20,3
3,2016,1,43,550,50,5,4
3,2016,2,55,550,50,10,5
3,2016,3,48,550,50,15,6
3,2017,1,60,600,50,10,7
3,2017,2,49,600,50,20,8
3,2017,3,52,600,50,30,9
3,2018,1,47,510,50,15,10
3,2018,2,55,510,50,15,11
3,2018,3,56,510,50,20,12
4,2015,1,30,470,10,0,1
4,2015,2,25,470,10,10,2
4,2015,3,20,470,10,15,3
4,2016,1,21,700,10,5,4
4,2016,2,27,700,10,5,5
4,2016,3,17,700,10,15,6
4,2017,1,34,760,10,5,7
4,2017,2,38,760,10,15,8
4,2017,3,39,760,10,20,9
4,2018,1,33,620,10,0,10
4,2018,2,36,620,10,5,11
4,2018,3,41,620,10,10,12
5,2015,1,43,610,40,20,1
5,2015,2,45,610,40,30,2
5,2015,3,47,610,40,35,3
5,2016,1,50,300,40,20,4
5,2016,2,48,300,40,30,5
5,2016,3,42,300,40,40,6
5,2017,1,29,710,40,15,7
5,2017,2,20,710,40,25,8
5,2017,3,24,710,40,35,9
5,2018,1,30,560,40,15,10
5,2018,2,28,560,40,20,11
5,2018,3,36,560,40,25,12
6,2015,1,61,610,60,0,1
6,2015,2,56,610,60,0,2
6,2015,3,59,610,60,0,3
6,2016,1,60,550,60,0,4
6,2016,2,51,550,60,5,5
6,2016,3,52,550,60,5,6
6,2017,1,70,390,60,5,7
6,2017,2,56,390,60,10,8
6,2017,3,51,390,60,10,9
6,2018,1,46,500,60,0,10
6,2018,2,40,500,60,5,11
6,2018,3,51,500,60,10,12
7,2015,1,39,515,30,10,1
7,2015,2,44,515,30,10,2
7,2015,3,38,515,30,15,3
7,2016,1,20,620,30,10,4
7,2016,2,28,620,30,20,5
7,2016,3,36,620,30,20,6
7,2017,1,48,740,30,15,7
7,2017,2,37,740,30,20,8
7,2017,3,27,740,30,25,9
7,2018,1,26,450,30,10,10
7,2018,2,30,450,30,20,11
7,2018,3,30,450,30,25,12
8,2015,1,65,600,70,15,1
8,2015,2,49,600,70,15,2
8,2015,3,60,600,70,20,3
8,2016,1,64,550,70,15,4
8,2016,2,68,550,70,20,5
8,2016,3,63,550,70,25,6
8,2017,1,50,400,70,15,7
8,2017,2,48,400,70,20,8
8,2017,3,36,400,70,20,9
8,2018,1,32,590,70,15,10
8,2018,2,37,590,70,25,11
8,2018,3,40,590,70,30,12
9,2015,1,71,790,40,0,1
9,2015,2,75,790,40,10,2
9,2015,3,60,790,40,20,3
9,2016,1,89,390,40,5,4
9,2016,2,92,390,40,15,5
9,2016,3,91,390,40,20,6
9,2017,1,52,560,40,10,7
9,2017,2,65,560,40,10,8
9,2017,3,47,560,40,20,9
9,2018,1,53,680,40,0,10
9,2018,2,55,680,40,10,11
9,2018,3,55,680,40,15,12
10,2015,1,82,600,80,10,1
10,2015,2,67,600,80,20,2
10,2015,3,75,600,80,30,3
10,2016,1,61,630,80,15,4
10,2016,2,65,630,80,25,5
10,2016,3,69,630,80,35,6
10,2017,1,64,850,80,15,7
10,2017,2,72,850,80,25,8
10,2017,3,70,850,80,30,9
10,2018,1,89,550,80,15,10
10,2018,2,94,550,80,15,11
10,2018,3,86,550,80,20,12
11,2015,1,21,330,0,0,1
11,2015,2,24,330,0,5,2
11,2015,3,29,330,0,5,3
11,2016,1,13,320,0,0,4
11,2016,2,14,320,0,10,5
11,2016,3,11,320,0,15,6
11,2017,1,8,860,0,5,7
11,2017,2,4,860,0,5,8
11,2017,3,5,860,0,10,9
11,2018,1,32,600,0,0,10
11,2018,2,27,600,0,5,11
11,2018,3,29,600,0,10,12
12,2015,1,98,310,100,20,1
12,2015,2,89,310,100,25,2
12,2015,3,95,310,100,40,3
12,2016,1,48,610,100,20,4
12,2016,2,60,610,100,30,5
12,2016,3,50,610,100,35,6
12,2017,1,65,370,100,15,7
12,2017,2,45,370,100,30,8
12,2017,3,52,370,100,40,9
12,2018,1,28,585,100,20,10
12,2018,2,31,585,100,20,11
12,2018,3,37,585,100,25,12
13,2015,1,55,470,50,15,1
13,2015,2,58,470,50,20,2
13,2015,3,50,470,50,30,3
13,2016,1,61,635,50,20,4
13,2016,2,49,635,50,35,5
13,2016,3,56,635,50,40,6
13,2017,1,54,710,50,20,7
13,2017,2,57,710,50,25,8
13,2017,3,62,710,50,30,9
13,2018,1,60,615,50,20,10
13,2018,2,56,615,50,30,11
13,2018,3,49,615,50,35,12
14,2015,1,45,315,40,20,1
14,2015,2,41,315,40,20,2
14,2015,3,46,315,40,25,3
14,2016,1,19,320,40,15,4
14,2016,2,23,320,40,25,5
14,2016,3,22,320,40,30,6
14,2017,1,10,860,40,15,7
14,2017,2,8,860,40,25,8
14,2017,3,14,860,40,35,9
14,2018,1,23,605,40,20,10
14,2018,2,16,605,40,25,11
14,2018,3,24,605,40,30,12
