SampDate,Year,Site,Eggs,Survey
4/19/2015,2015,1,0,1
5/11/2015,2015,1,0,2
5/30/2015,2015,1,0,3
4/16/2016,2016,1,1,4
5/14/2016,2016,1,0,5
6/8/2016,2016,1,1,6
4/12/2017,2017,1,1,7
5/1/2017,2017,1,1,8
5/28/2017,2017,1,1,9
4/20/2018,2018,1,0,10
5/15/2018,2018,1,1,11
6/2/2018,2018,1,0,12
4/14/2019,2019,1,0,13
5/11/2019,2019,1,0,14
6/4/2019,2019,1,0,15
4/19/2015,2015,2,1,1
5/11/2015,2015,2,0,2
5/30/2015,2015,2,0,3
4/16/2016,2016,2,1,4
5/14/2016,2016,2,1,5
6/8/2016,2016,2,1,6
4/12/2017,2017,2,0,7
5/1/2017,2017,2,1,8
5/28/2017,2017,2,1,9
4/20/2018,2018,2,1,10
5/15/2018,2018,2,1,11
6/2/2018,2018,2,0,12
4/14/2019,2019,2,0,13
5/11/2019,2019,2,1,14
6/4/2019,2019,2,1,15
4/19/2015,2015,3,0,1
5/11/2015,2015,3,0,2
5/30/2015,2015,3,0,3
4/16/2016,2016,3,0,4
5/14/2016,2016,3,0,5
6/8/2016,2016,3,0,6
4/12/2017,2017,3,0,7
5/1/2017,2017,3,0,8
5/28/2017,2017,3,0,9
4/20/2018,2018,3,0,10
5/15/2018,2018,3,0,11
6/2/2018,2018,3,0,12
4/14/2019,2019,3,0,13
5/11/2019,2019,3,0,14
6/4/2019,2019,3,0,15
4/19/2015,2015,4,1,1
5/11/2015,2015,4,1,2
6/30/2015,2015,4,0,3
4/16/2016,2016,4,1,4
5/14/2016,2016,4,1,5
6/8/2016,2016,4,1,6
4/12/2017,2017,4,1,7
5/1/2017,2017,4,0,8
5/28/2017,2017,4,1,9
4/20/2018,2018,4,0,10
5/15/2018,2018,4,0,11
6/2/2018,2018,4,0,12
4/14/2019,2019,4,0,13
5/11/2019,2019,4,0,14
6/4/2019,2019,4,0,15
4/15/2015,2015,5,0,1
5/3/2015,2015,5,0,2
6/26/2015,2015,5,0,3
4/20/2016,2016,5,1,4
5/12/2016,2016,5,1,5
6/6/2016,2016,5,0,6
4/18/2017,2017,5,1,7
5/9/2017,2017,5,1,8
6/3/2017,2017,5,1,9
4/19/2018,2018,5,1,10
5/12/2018,2018,5,0,11
5/30/2018,2018,5,1,12
4/17/2019,2019,5,0,13
5/14/2019,2019,5,0,14
6/1/2019,2019,5,0,15
4/15/2015,2015,6,1,1
5/3/2015,2015,6,1,2
5/26/2015,2015,6,1,3
4/20/2016,2016,6,1,4
5/12/2016,2016,6,0,5
6/6/2016,2016,6,1,6
4/18/2017,2017,6,0,7
5/9/2017,2017,6,1,8
6/3/2017,2017,6,0,9
4/19/2018,2018,6,0,10
5/12/2018,2018,6,0,11
5/30/2018,2018,6,0,12
4/17/2019,2019,6,0,13
5/14/2019,2019,6,0,14
6/1/2019,2019,6,0,15
4/15/2015,2015,7,0,1
5/3/2015,2015,7,0,2
5/26/2015,2015,7,0,3
4/20/2016,2016,7,1,4
5/12/2016,2016,7,1,5
6/6/2016,2016,7,0,6
4/18/2017,2017,7,1,7
5/9/2017,2017,7,1,8
6/3/2017,2017,7,1,9
4/19/2018,2018,7,1,10
5/12/2018,2018,7,1,11
5/30/2018,2018,7,0,12
4/17/2019,2019,7,0,13
5/14/2019,2019,7,0,14
6/1/2019,2019,7,0,15
4/15/2015,2015,8,1,1
5/3/2015,2015,8,1,2
5/26/2015,2015,8,0,3
4/20/2016,2016,8,1,4
5/12/2016,2016,8,0,5
6/6/2016,2016,8,0,6
4/18/2017,2017,8,1,7
5/9/2017,2017,8,1,8
6/3/2017,2017,8,1,9
4/19/2018,2018,8,0,10
5/12/2018,2018,8,0,11
5/30/2018,2018,8,0,12
4/17/2019,2019,8,0,13
5/14/2019,2019,8,0,14
6/1/2019,2019,8,0,15
